V	Current	
-0.64	-1.22578E-5
-0.63	-1.20274E-5
-0.62	-1.17984E-5
-0.61	-1.15709E-5
-0.6	-1.13449E-5
-0.59	-1.11203E-5
-0.58	-1.08971E-5
-0.57	-1.06754E-5
-0.56	-1.04551E-5
-0.55	-1.02361E-5
-0.54	-1.00186E-5
-0.53	-9.80242E-6
-0.52	-9.58759E-6
-0.51	-9.37412E-6
-0.5	-9.16197E-6
-0.49	-8.95114E-6
-0.48	-8.74162E-6
-0.47	-8.53339E-6
-0.46	-8.32645E-6
-0.45	-8.12077E-6
-0.44	-7.91635E-6
-0.43	-7.71318E-6
-0.42	-7.51124E-6
-0.41	-7.31053E-6
-0.4	-7.11102E-6
-0.39	-6.91272E-6
-0.38	-6.7156E-6
-0.37	-6.51966E-6
-0.36	-6.32489E-6
-0.35	-6.13127E-6
-0.34	-5.9388E-6
-0.33	-5.74746E-6
-0.32	-5.55724E-6
-0.31	-5.36813E-6
-0.3	-5.18013E-6
-0.29	-4.99321E-6
-0.28	-4.80737E-6
-0.27	-4.6226E-6
-0.26	-4.43889E-6
-0.25	-4.25622E-6
-0.24	-4.07459E-6
-0.23	-3.89399E-6
-0.22	-3.71441E-6
-0.21	-3.53583E-6
-0.2	-3.35824E-6
-0.19	-3.18164E-6
-0.18	-3.00602E-6
-0.17	-2.83136E-6
-0.16	-2.65765E-6
-0.15	-2.48489E-6
-0.14	-2.31307E-6
-0.13	-2.14216E-6
-0.12	-1.97218E-6
-0.11	-1.80309E-6
-0.1	-1.6349E-6
-0.09	-1.4676E-6
-0.08	-1.30117E-6
-0.07	-1.1356E-6
-0.06	-9.70889E-7
-0.05	-8.07021E-7
-0.04	-6.43988E-7
-0.03	-4.81779E-7
-0.02	-3.20385E-7
-0.01	-1.59795E-7
0	0
0.01	1.5901E-7
0.02	3.17245E-7
0.03	4.74715E-7
0.04	6.3143E-7
0.05	7.874E-7
0.06	9.42634E-7
0.07	1.09714E-6
0.08	1.25094E-6
0.09	1.40402E-6
0.1	1.55642E-6
0.11	1.70812E-6
0.12	1.85915E-6
0.13	2.00952E-6
0.14	2.15923E-6
0.15	2.30829E-6
0.16	2.45672E-6
0.17	2.60452E-6
0.18	2.7517E-6
0.19	2.89828E-6
0.2	3.04426E-6
0.21	3.18966E-6
0.22	3.33447E-6
0.23	3.47873E-6
0.24	3.62242E-6
0.25	3.76557E-6
0.26	3.90819E-6
0.27	4.05028E-6
0.28	4.19185E-6
0.29	4.33291E-6
0.3	4.47348E-6
0.31	4.61356E-6
0.32	4.75317E-6
0.33	4.8923E-6
0.34	5.03099E-6
0.35	5.16922E-6
0.36	5.30702E-6
0.37	5.44439E-6
0.38	5.58135E-6
